"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\products.lang","lm","lm","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","m","m","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","m2","m²","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","m3","m³","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","mandatoryHelper","Check this if you want a message to the user when creating / validating an invoice, commercial proposal, sales order without entering a start and end date on lines with this service.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","mandatoryHelper2","Note that the message is a warning and not a blocking error.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","mandatoryperiod","Mandatory periods","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","mandatoryPeriodNeedTobeSet","Note: Period (start and end date) must be defined","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","mandatoryPeriodNeedTobeSetMsgValidate","A service requires a start and end period","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ManufacturingPrice","Manufacturing price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MassBarcodeInit","Mass barcode init","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MassBarcodeInitDesc","This page can be used to initialize a barcode on objects that does not have barcode defined. Check before that setup of module barcode is complete.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MenuStocks","Stocks","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MergeOriginProduct","Duplicated product (the product you want to delete)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MergeProducts","Merge products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","meter","meter","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MinCustomerPrice","Minimum selling price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MinimumPriceLimit","Minimum price can't be lower then %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MinimumRecommendedPrice","Minimum recommended price is: %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MinPrice","Min. selling price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MinPriceHT","Min. selling price (excl. tax)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MinPriceTTC","Min. selling price (inc. tax)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MinSupplierPrice","Minimum buying price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ModifyValueExtrafields"," Modify value of an extrafield","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","Movements","Movements","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MultipriceRules","Automatic prices for segment","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MultiPricesAbility","Multiple price segments per product/service (each customer is in one price segment)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","MultiPricesNumPrices","Number of prices","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","Nature","Nature of product (raw/manufactured)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NatureOfProductDesc","Raw material or manufactured product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NatureOfProductShort","Nature of product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NbOfDifferentValues","No. of different values","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NbOfQtyInProposals","Qty in proposals","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NbProducts","Number of products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NetMeasure","Net measure","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NewPrice","New price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NewProductAttribute","New attribute","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NewProductAttributeValue","New attribute value","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NewProductCombination","New variant","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NewProductCombinations","New variants","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NewRefForClone","Ref. of new product/service","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NoDynamicPrice","No dynamic price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NoEditVariants","Go to Parent product card and edit variants price impact in the variants tab","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NoMatchFound","No match found","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NoPriceDefinedForThisSupplier","No price/qty defined for this vendor/product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NoProductPriceDefinedForThisSupplier","No product price/qty defined for this vendor","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NoSupplierPriceDefinedForThisProduct","No vendor price/qty defined for this product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NoteNotVisibleOnBill","Note (not visible on invoices, proposals...)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NotOnSell","Not for sale","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NotPredefinedProducts","Not predefined products/services","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NotSupportedOnKits","Not supported on kits","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","NumberOfStickers","Number of stickers to print on page","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","OnBuy","For purchase","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","OnSell","For sale","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","OrProductsWithCategories","Or products with tags/categories","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","p","piece","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PackagingForThisProduct","Round quantities up to a multiple","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PackagingForThisProductDesc","When adding/updating a line in a documents, the quantity is adjusted to match the nearest higher multiple of the value defined on product.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PackagingForThisProductSell","Packaging of quantities (sale)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PageToGenerateBarCodeSheets","With this tool, you can print sheets of barcode stickers. Choose format of your sticker page, type of barcode and value of barcode, then click on button <b>%s</b>.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ParentProduct","Parent product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ParentProductOfVariant","Parent product of variant","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ParentProducts","Parent products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ParentProductsNumber","Number of parent packaging product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PercentageVariation","Percentage variation","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PercentDiscountOver","%% discount over %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PercentVariationOver","%% variation over %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PMPExpected","Expected PMP","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PMPReal","Real PMP","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PMPValue","Weighted average price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PMPValueShort","WAP","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PossibleValues","Possible values","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PredefinedItem","Predefined item","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PredefinedProducts","Predefined Product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PredefinedProductsAndServices","Predefined products/services","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PredefinedServices","Predefined Service","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","PriceByCustomeAndMultiPricesAbility","Different prices for each customer + Multiple price segments per product/service (each customer is in one price segment)","","needs_translation","Direct en_US vs ms_MY gap"
